DYE MACHINE	Actual St/ Code	Extended status	Shift date	Row name
1602276			2015-07-16	ECO 08
1598470	A13111B-AM		2015-07-13	TN43
1598471	A13160B-AM		2015-07-14	TN43
1598472	A13160B-AM		2015-07-14	TN43
1598474	A13160A-AM		2015-07-15	TN43
1601353			2015-07-15	TN43
1601354			2015-07-16	TN43
1601355			2015-07-16	TN43
1601356			2015-07-16	TN43
1601357			2015-07-17	TN43
1601358			2015-07-17	TN43
1601359			2015-07-18	TN43
1601360			2015-07-18	TN43
1601361			2015-07-19	TN43
1601133	A13189A-SH		2015-07-13	LR12
1601134	A13189A-SH		2015-07-13	LR12
1601135	A13189A-SH		2015-07-13	LR12
1601136	A13189A-SH		2015-07-14	LR12
1601137	A13189A-SH		2015-07-14	LR12
1601139	A13189A-SH		2015-07-15	LR12
1598451	A13172A-JI		2015-07-13	S5
1600548			2015-07-11	ECO 08
1600557			2015-07-11	ECO 08
M1022368			2015-07-12	ECO 10
1601347			2015-07-12	ECO 10
1601335			2015-07-12	ECO 10
1602244			2015-07-14	ECO 10
1602245			2015-07-15	ECO 10
1601620			2015-07-13	ECO 11
1601621			2015-07-13	ECO 11
1601265			2015-07-11	ECO 12
1602042			2015-07-12	ECO 14
1602043			2015-07-12	ECO 14
M1022439			2015-07-15	LR 01
1602221			2015-07-12	LR 04
1602078			2015-07-11	LR 06
1602079			2015-07-12	LR 06
1602080			2015-07-12	LR 06
1602081			2015-07-13	LR 06
1602082			2015-07-13	LR 06
M1022435			2015-07-14	LR 06
1601740			2015-07-13	LR 09
1599930			2015-07-11	TN44
1600185			2015-07-11	TN44
1600553			2015-07-12	TN44
1600554			2015-07-12	TN44
1600555			2015-07-12	TN44
1601822			2015-07-12	TN44
1601824			2015-07-12	TN44
1601064			2015-07-11	TN46
1601063			2015-07-12	TN46
M1022415			2015-07-12	TN46
M1014709			2015-07-25	Y7
1602243		First Bulk Awaiting Recipe	2015-07-13	ECO 10
1602246		First Bulk Awaiting Recipe	2015-07-13	ECO 10
1599614	A13127B-BR		2015-07-11	ECO 02
1601786	A13127B-BR		2015-07-11	ECO 02
1601787	A13127B-BR		2015-07-11	ECO 02
M1022408	A13127B-BR		2015-07-11	ECO 02
1601130	A12664B-EM		2015-07-11	ECO 02
1601129	A12664B-EM		2015-07-11	ECO 02
1602297			2015-07-11	ECO 02
1602303			2015-07-12	ECO 02
STOP ECO 02			2015-07-16	ECO 02
INSTANT SPEED ORDER 2013 A			2015-07-16	ECO 02
STOP ECO 07			2015-07-16	ECO 07
1601546	A13227A-BR		2015-07-10	ECO 08
1602305			2015-07-11	ECO 08
STOP ECO 08.			2015-07-16	ECO 08
1601114QEF	?		2015-07-10	ECO 10
1601115QEF	?		2015-07-10	ECO 10
