Material	Material description	Language	Shade
20-08225	1/30S KNITTED FABRIC SAMPLE SJ - LOYAL	EN	-
20-08251	1/40 COMB COT 1/33 LYC SJV - DARK	EN	Dark
20-05784	13064 1/50NE COMB COT 1/22ELAS SJ -LIGHT	EN	Light
20-05761	13099 94/6 1/30NE COT 1/33DT EL SJ - VAR	EN	-
20-06625	14310 1/30NE 60/40 COTTO/PROMOD SJ-HUAFU	EN	-
20-01709	40002 100 1/30NE COM COTTON - RIB INDO	EN	-
20-01054	40019 95/5 1/40 NECOTTON 1/22DTEX LYC SJ	EN	-
20-01272	40050 95/5 1/38COT 1/22LYC SJ - LIGHT	EN	Light
20-01174	40207 100% 1/30NE COM COT RS SJ -GTN	EN	-
20-01835	40380 1/32 COT 1/44 ROI "DARK" PACIFIC	EN	Dark
20-00620	40380 92/8 1/32 COT 1/44 ROI SJ INDORAMA	EN	-
20-00952	40380 92/8 1/32NECOT 1/44DT ROICA-SJ GTN	EN	-
20-01355	40394 92/8 1/32NE COT 1/44 LYC SJ - INDO	EN	-
20-00637	40576 100 1/60NE COMB COTT - SJ (LT)	EN	Light
20-00640	40576 100 1/60NE COMB COTT- GTN -SJ (DK)	EN	Dark
20-01919	40674 95/5 1/40NE COT 1/22DT LYC SJ ARGO	EN	-
20-01232	40708 93/7 1/50NM VIS 1/44D ROI SJ LINZ	EN	-
20-01262	40710 93/7 1/50 RAYON 1/44 ROI SJ -ISIN	EN	-
20-00510	40796 86/12/21/50NMV/A1/7836FPO1/44LYCRA	EN	-
20-01956	40845 1/50NE COM COTTON RIB - LIGHT	EN	Light
20-01000	40874 1/30NE COTT1/22 7F NYLON1/44LYC SJ	EN	-
20-00643	40890 95/5 1/60NM VIS/1/22DTEX ELAST- SJ	EN	-
20-01327	40890 95/5 1/60NM VISCOSE 1/22DT CREORA	EN	-
20-07500	40915 1/40NE "DK USING BCI" COTT - SJ	EN	Dark
20-02181	40915 1/40NE COM COTTON RS -SJ- INDORA	EN	-
20-06281	40915 1/40NE COMBED COTTON SJ - DARK	EN	Dark
20-06370	40915 1/40NE COMBED COTTON SJ - LIGHT	EN	Light
20-05392	40915 1/40NE COMBED COTTON SJ - YAMATEX	EN	-
20-01345	40961 1/30NE COM COT 1/44DT LYC GTN	EN	-
20-00982	40974 32/68 1/50COT 1/26 COTT SJ - LIGHT	EN	Light
20-01931	40987 1/100NM 50/50 COT/MIC MOD RS - FEL	EN	-
20-00692	41039 84/16 1/40NE COTTON/1/78DTEX - SJ	EN	-
20-00944	41071 1/30COT 1/50COT 1/44RO SJ - LIGHT	EN	Light
20-00724	41071 58/37/5 1/30CO 1/50CO1/44RO-SJ LT	EN	Light
20-01658	41072 95/5 1/30COT 1/44 ELA CRE-SJ INDO	EN	-
20-01419	41074 100% 1/50NM COT/MOD 50/50 RIB-LINZ	EN	-
20-01741	41091 1/60NM VISCOSE 1/33DT ELA - SJ	EN	-
20-05900	41092 1/30NE COT 1/33DT ELASP SJ - KUKIL	EN	-
20-05979	41092 1/30NE COT 1/33DT ELASP SJ - SEL	EN	-
20-06341	41092 1/30NE COTT 1/33DT ELA SJ - DARK	EN	Dark
20-06340	41092 1/30NE COTT 1/33DT ELA SJ - LIGHT	EN	Light
20-01511	41092 95/5 1/30 COT1/33 ELA CRE SJ- INDO	EN	-
20-02264	41092 95/5 1/30COT 1/33ELAS SJ - DJONI	EN	-
20-01981	41092 95/5 1/30NE COT1/33 ROI SJ - DJO	EN	-
20-01097	41092 95/5 1/30NE COT1/33 ROI SJ - INDO	EN	-
20-00644	41092 95/5 1/30NE COTT/1/33 ROICA - SJ	EN	-
20-05850	41092 95/5 1/30NE COTTON 1/33 ELA SJ-VAR	EN	-
20-05858	41092 95/5 1/30NE COTTON 1/33ELA SJ-ISIN	EN	-
20-02600	41092 USING 1/32'S 1/33 ELASPAN-DJO	EN	-
20-00826	41108 58/37/5 1/30CT/1/50CT/1/44EAS - LT	EN	Light
20-01899	41109 1/40NE COTT 1/33 ROICA -RIB GTN	EN	-
20-08626	41110 1/40NE COM COTT 1/22DT ELAS - RIB	EN	-
20-01535	41144 1/26NE COM COTTON RS -RIB - VAR	EN	-
20-00725	41145 95/5 1/60NM VISCOSE 1/22 ELAS - SJ	EN	-
20-00714	41145 95/51/60NMVIS/1/22DTEX ELT- SJ-VSS	EN	Light
20-00710	41174 87/131/30NECT-ML NMC50/1/1/78LC-SJ	EN	-
20-01971	41188 95/5 1/30NE COT 1/22DT CRE -SJ GTN	EN	-
20-00820	41234 100-1/30 COTTON MARL (HD106) HUAFU	EN	-
20-00822	41235 100- 1/30 COTTON MARL (RD38) 5017	EN	-
20-07616	41264 "USE 1/60NE SUP COT" 1/22EL SJ-GTN	EN	-
20-07426	41264 93/7 1/60NE COT 1/22 ELA SJ- LIGHT	EN	Light
20-02456	41264 93/7 1/60NE COT 1/22 ROI SJ LIGHT	EN	Light
20-07142	41264 93/7 1/60NE COT 1/22DT ELA SJ - LT	EN	Light
20-01098	41264 93/7 1/60NE COTT 1/22DT ROICA SJ	EN	-
20-00968	41285 82/18 1/60NE SUPI COT 1/44LYCRA SJ	EN	-
20-01632	41293 100% 1/40NE COM COTTON RS -GTN	EN	-
20-01897	41312 1/30 COM COT 1/44 ROI -SJ VARDMAN	EN	-
20-01635	41321 95/5 1/40COT 1/22CRE - RIB	EN	-
20-08972	41325 "USE 1/30 COM 1/78ELA"CRE" SJ-DARK	EN	Dark
20-08400	41325 1/30 COM COMP 1/78 ELAS SJ - DARK	EN	Dark
20-08241	41325 1/30COMP COT 1/70SP SJ "TRIAL"-KPR	EN	-
20-07970	41325 1/30COMP COT 1/78EL SJ TRIAL-LIGHT	EN	Light
20-07375	41325 1/30NE BCI COTTON 1/78ELA SJ	EN	-
20-08625	41325 1/30NE CO 1/78EL DARK - ISIN LANKA	EN	Dark
20-08535	41325 1/30NE CO 1/78EL DK/INV(INDO)SJ-DK	EN	Dark
20-08534	41325 1/30NE CO 1/78EL LT/INV(INDO)SJ-LT	EN	Light
20-05827	41325 1/30NE COM COTT 1/78ELA SJ - DARK	EN	Dark
20-05746	41325 1/30NE COM COTT 1/78ELA SJ - LIGHT	EN	Light
20-05694	41325 1/30NE COM COTTON 1/78DT EL SJ-VAR	EN	-
20-05747	41325 1/30NE COM COTTON 1/78ELA SJ-KUKIL	EN	-
20-05748	41325 1/30NE COM COTTON 1/78ELA SJ-PATSP	EN	-
20-07416	41325 1/30NE COT 1/78EL SJ "DARK" - OCI	EN	Dark
20-06841	41325 1/30NE COT 1/78EL SJ"ALL SHADE-PTL	EN	-
20-05902	41325 1/30NE COT 1/78ELA E02C SJ- AMBIKA	EN	-
20-05990	41325 1/30NE COT 1/78ELA E02C SJ-IND-SEL	EN	-
20-05193	41325 1/30NE COT 1/78ELA SJ- IND-EFFENDI	EN	-
20-05310	41325 1/30NE COTTON 1/78DT EL SJ-CHONGBA	EN	-
20-05588	41325 1/30NE COTTON 1/78DT EL SJ-ORIENTA	EN	-
20-05182	41325 1/30NE COTTON 1/78ELA SJ-IND-AARTI	EN	-
20-05096	41325 1/30NE COTTON 1/78ELASP SJ-PATSPIN	EN	-
