1479129QFF,Bulk Batches to be Reshedule
1479281,Aw cus App
1479562,Aw cus App
1480749,Aw cus App
1482169,Aw cus App
1482500,Aw cus App
1482501,Aw cus App
1482507,Aw cus App
1482948,Aw cus App
1483455,Aw cus App
1483529,Aw cus App
1478043DD,Aw cus App
1479284DP,Aw cus App
1479285DP,Aw cus App
1479563DP,Aw cus App
1482653DP,Aw cus App
1465507,Bulk Batches to be Reshedule
1469187,Bulk Batches to be Reshedule
1470889,Bulk Batches to be Reshedule
1471817,Bulk Batches to be Reshedule
1471818,Bulk Batches to be Reshedule
1473809,Bulk Batches to be Reshedule
1483300,Bulk Batches to be Reshedule
1483301,Bulk Batches to be Reshedule
1425822ODD,Bulk Batches to be Reshedule
1455778ODD,Bulk Batches to be Reshedule
1456152DD,Bulk Batches to be Reshedule
1460952DF,Bulk Batches to be Reshedule
1466820ZF,Bulk Batches to be Reshedule
1481626ODD,Bulk Batches to be Reshedule
1481627ODD,Bulk Batches to be Reshedule
1483771,Aw Pigment
1477055ODD2,Aw Pigment
1481426DP,Aw Pigment
1481942DP,Aw Pigment
1482090DP,Aw Pigment
1482202DP,Aw Pigment
1482860DP,Aw Pigment
1483061DP,Aw Pigment
1483062DP,Aw Pigment
1483206DP,Aw Pigment
1483247DP,Aw Pigment
1483306DP,Aw Pigment
1483307DP,Aw Pigment
1483377DP,Aw Pigment
1483378DP,Aw Pigment
1483435DP,Aw Pigment
1483436DP,Aw Pigment
1483462DP,Aw Pigment
1483463DP,Aw Pigment
1482866,Aw Shade comments
1433297DP,Aw Shade comments
1479077DP,Aw Shade comments
1474474QODD1,Bulk Batches to be Reshedule
1480746DD,Aw Cus care comments
1456435,Down Grade
1464503,Down Grade
1478034,Down Grade
1436915CQOD1,Down Grade
1453271CFF,Down Grade
1458177QDF1,Down Grade
1459244CDD1,Down Grade
1460289QFD,Down Grade
1460769QODF2,Down Grade
1461141QQF,Down Grade
1466123QDD1,Down Grade
1467557QODF1,Down Grade
1468153CKF,Down Grade
1472991CFF1,Down Grade
1473178QDD,Down Grade
1474087QFF,Down Grade
1474170QODD5,Down Grade
1474397ODK1,Down Grade
1475263QODP2,Down Grade
1475931DP2,Down Grade
1477932ODD2,Down Grade
1477932ODD3,Down Grade
1479026QFD,Down Grade
1479358QDD1,Down Grade
1480102QDD,held due to  dyeing issues
1479080ODD,held due to  dyeing issues
1475931DP1,Bulk Batches to be Reshedule
1479121QDF,held due to  finishing issue
1481256,Off Shade
1481257,Off Shade
1481260,Off Shade
1481231QFF,Off Shade
1481233QFF,Off Shade
1482978PD,Off Shade
1481052DF,Bulk Batches to be Reshedule
1481798DF,Bulk Batches to be Reshedule
1482343DF,Bulk Batches to be Reshedule
1476223ODD,Bulk Batches to be Reshedule
1476224ODD,Bulk Batches to be Reshedule
1482781,Bulk Batches to be Reshedule
1013781SCP,Bulk Batches to be Reshedule
1475544QFF,Bulk Batches to be Reshedule
1477035DD1,Bulk Batches to be Reshedule
1478736ODF1,Bulk Batches to be Reshedule
1480101QDD,Bulk Batches to be Reshedule
1480744DD,Bulk Batches to be Reshedule
1483334DD,Bulk Batches to be Reshedule
1468694ODQ2,Aw OD recipe
1468695ODQ2,Aw OD recipe
1468696ODQ2,Aw OD recipe
1482247QODZ,Aw OD recipe
1482858ODD,Aw OD recipe
1480706CODD,Aw OD recipe
1474320ODD,Aw OD recipe
1481770,Off Shade
1481977,Off Shade
1482083,Off Shade
1482844,Off Shade
1483215,Off Shade
1483335,Off Shade
1483358,Off Shade
1483602,Off Shade
106644DPR,Off Shade
1477932ODD2,Off Shade
1480491QFD,Off Shade
1482203DP,Off Shade
1482307DP,Off Shade
1481028,Aw OD recipe
1481029,Aw OD recipe
1479706QFF,Aw OD recipe
1479707QFF,Aw OD recipe
1474323QODF,Aw OD recipe
1479433,Aw Pilot
1479436,Aw Pilot
1482757,Aw Pilot
1482758,Aw Pilot
1482759,Aw Pilot
1482760,Aw Pilot
1482761,Aw Pilot
1482865,Aw Pilot
1483243,Aw Pilot
1483246,Aw Pilot
1483312,Aw Pilot
1483313,Aw Pilot
1483369,Aw Pilot
1483370,Aw Pilot
1483398,Aw Pilot
1483812,Aw Pilot
1483821,Aw Pilot
1483857,Aw Pilot
1483941,Aw Pilot
1462763ODD,Aw Pilot
1480752ODD1,Aw Pilot
1481231QFF,Aw Pilot
1481263ODD,Aw Pilot
1482075DD,Aw Pilot
1482076DD,Aw Pilot
1481965,Bulk Batches to be Reshedule
1474298CODD,Bulk Batches to be Reshedule
1479225ODD,Bulk Batches to be Reshedule
1480386ODD,Bulk Batches to be Reshedule
1456146QODD4,Bulk Batches to be Reshedule
1466252ODD1,Bulk Batches to be Reshedule
1475898QODD2,Bulk Batches to be Reshedule
1480009QDR,Bulk Batches to be Reshedule
1480384QODD,Bulk Batches to be Reshedule
1481069QODD,Bulk Batches to be Reshedule
