		COTTON	0	0
UNLOAD	UNLOAD	COTTON	0	0
Y1-0033B	Y3-0828E Dyed/Cott/Marl	COTTON	150	3.9
Y3-0545A	1/40NE DY/SU/CO/MI/MO	COTTON	140	4
Y3-0921B	1/40ne DYED	COTTON	150	3.9
10948	VI-SJ 97/7%SJ 97/7%	VISCOSE	120	2.7
11092	NO-COTTEN 95/5	COTTON	140	2.5
11776	BI-95/5 cotton/lycra	COTTON	4517	2.7
11952	NO-1/40COMB COTTON	COTTON	150	3.2
11983	NO -100% COTTEN	COTTON	140	3.1
12131	NO-96/41/4ONE/COTT	COTTON	140	3.2
12247	NO-COTTON 96/4	COTTON	140	2.9
12300	BI-94/6 1/30 Supi Cotton	COTTON	140	2.9
13099	BI-1/30ONE COTTON	COTTON	140	2.9
13164	BI-94/6 1 30 COTT	COTTON	140	3
13209	NO-100%COTTON/LYC5%	COTTON	140	2.6
14310	NO-1/30NE 60/40 COT/PRO/MOD	COTTON	150	4.7
14767	VI-1/60 MM/MARL	VISCOSE	120	2.4
14919	VI-1/60NM MIC MOD MARL	VISCOSE	120	4
14920	VI- 1/60NM MIC MOD MARL	VISCOSE	120	4
15606	NO-95/5 Cotton/Roica marl	COTTON	140	3.9
16018	NO-White	COTTON	140	3.4
16140	NO-100/1/30NE COMBED/COTT	COTTON	140	2.9
18505	NO-95/5 Cotton/Elastane marl	COTTON	140	3
22222	NO-1x1 Rib 100% cotton	COTTON	140	3
23814	NO-1/26NE COTT	COTTON	140	3.5
30037F	NY-Nylon	NYLON	120	9.7
32614	NO-100 COTT	COTTON	140	3.2
33961	NO-1/4ONE/COTT/MODA	COTTON	150	4.3
40002	NO-100% Cottn RIB	COTTON	140	3.2
40005	NO-95/2/COTT	COTTON	140	3
40008	NO-28gg SJ 95/5 CTN/LYC	COTTON	140	4
40017	"BI-28gg 30"" SJ 87/13 Ctn/Elastain"	COTTON	140	2.3
40019	"NO-28gg 30"" SJ 95/5% Ctn/Elast"	COTTON	140	3.5
40025	NO-1/40 Com cott Rib	COTTON	140	4.3
40060	NO-100%COTTON	COTTON	140	4.1
40207	"NO-28gg 30"" SJ 100% cotton"	COTTON	140	4.4
40380	NO-92/8 CTN/ LYC SJ	COTTON	140	3
40384	"NO-28gg 30"" 95/5 CTN/LYC"	COTTON	140	3.3
40394	"NO-28gg 30"" 92/8 CTN/LYC"	COTTON	140	2.4
40411	NO-100% Cotton	COTTON	140	3.9
40476	"NO-36gg 30"" SJ 100% Cotton"	COTTON	140	6.1
40479	NO-1x1 RIB CTN 100%	COTTON	140	3.2
40568	NO-1x1 RIB 100% CTN	COTTON	140	2.8
40576	NO-36gg 100% CTN	COTTON	140	6.4
40674	"NO-28gg 30""SJ 95/5% Ctn/Elst"	COTTON	140	3.8
40682	NO-85/15 Cotton/Lycra	COTTON	140	3.1
40708	VI-Viscose	VISCOSE	120	2.2
40709	"VI-28gg 30"" SJ Visc/Roica 93/7%"	VISCOSE	120	2.1
40710	"VI-28gg 30"" SJ 93/7 Rayon/Flat"	VISCOSE	120	2.1
40716	"NO-242X2 Rib Combed Cotton, Lycra"	COTTON	140	3.7
40723	"NO-28gg 30"" SJ Cotton/Lycra"	COTTON	140	2.3
40759	NO-36gg SJ 43/43/14% Ctn/Modal/Lyc	COTTON	140	2.5
40805	"NO-18gg 34"" Rib 100% CTN Marl"	COTTON	140	3.1
40825	NO-SJ 100% Cotton	COTTON	140	6
40845	NO-BI-1x1 Rib 100% cotton	COTTON	140	5.5
40874	"NO-28gg 30"" SJ 85/15% CTN/Nylon"	COTTON	140	3
40890	VI-28gg 30SJ Bt Visc/ Roica 95/ 5	VISCOSE	140	3.2
40915	NO-100% SJ CTN (RIB)	COTTON	140	5.7
40922	95/5% Cott/Lyc	COTTON	140	3.2
40950	36gg SJ CTN/LYC 90/10%	COTTON	140	5.7
40961	"24gg 30"" 92/8 CTN/LYC"	COTTON	140	2.6
40974	"28gg 30"" SJ 100% CTN"	COTTON	140	4.6
40987	VI-50/50 COT/MOD	VISCOSE	120	6.6
41012	92/8% Cotton/Lycra SJ	COTTON	140	3
41017	"24gg 30"" SJ 92/8 Ctn/Elas"	COTTON	140	3
41023	1x1 Rib 100% cotton	COTTON	140	4.5
41032	100% CTN Rib	COTTON	140	2.4
41039	Lycra Jersey 83/17CTN/LYC	COTTON	140	3.1
41040	"24gg 30"" SJ Cotton Marl 92 Elas 8%"	COTTON	140	3
41041	"28gg 30"" SJ 87/13 CTN/LYC"	COTTON	140	2.3
41044	"28gg 30"" SJ 73/14/13 Cot/acr/Lyc"	COTTON	140	2.4
41047	100%COTT	COTTON	140	5.4
41057	VI-59/35/6 Cott/Modal/Roica	VISCOSE	120	2.7
41060	VI-28gg 30SJ Bt Visc/ Roica 95/ 5	VISCOSE	120	3.7
41061	"18gg 34"" Rib 100% Cotton"	COTTON	140	4.7
41062	100% Cotton with Tuck Stitch	COTTON	140	6.4
41071	"24gg 30"" SJ 100% 95/5 Ctn/EL"	COTTON	140	3.4
41071CC	Collars & Cuffs	COTTON	140	3.5
41072	24gg SJ 95/5% Ctn/Elast	COTTON	140	2.6
41074	VI-50/50 Cott/Modal	VISCOSE	120	3.8
41091	"VI-28gg 30"" SJ Visc/ Elas 93/7"	VISCOSE	120	3
41092	"NO-28gg 30"" SJ 95% CTN 5%Roica"	COTTON	140	2.5
41094	"NO - 36gg 30"" SJ 100% Cotton"	COTTON	140	7
41100	"36gg 30"" SJ 100% Cotton"	COTTON	140	5.8
41106	"18gg 34"" Rib 100% Cotton"	COTTON	140	2.6
41107	"18gg 34"" Rib 100% Cotton"	COTTON	140	2.8
41108	24gg SJ Pique 94/6 Ctn/Roica	COTTON	140	3.4
41109	"28gg 34"" Rib 94/6 Ctn/Roica"	COTTON	140	3
41110	95/5 1/40 COTT	COTTON	140	4.8
41132	"18gg 34"" Rib 100% Ctn"	COTTON	140	4.8
41144	"18gg 34"" 100% Cotton RIB"	COTTON	140	2.6
41145	"VI-28gg 30"" SJ 95% Viscose 5% Roi"	VISCOSE	120	3.7
41148	Waffle Rib 100% CTN	COTTON	140	5.5
41157	"36gg 30"" SJ 100% Cotton"	COTTON	140	6.2
41159	59% CTN 35% LYC 6% Roica Sj	COTTON	140	2.6
41160	"VI-24gg 30"" SJ Visc/Roica 95/5%"	VISCOSE	120	3.2
41161	100% Cotton SJ	COTTON	140	2.9
41163	VI-50/50 Cott/M Modal	VISCOSE	120	4.3
41171	100% Cotton 1X1 Rib	COTTON	140	4.6
